EduLevel,Number,Income_mean,EarnFT_mean,EarnAll_mean,Months Worked,Income_median,EarnFT_median,EarnAll_median,EduMonthFit,EduIncomeFit,IncomeMonthFit
Elementary,12002.0,1166.0,2136.0,1813.0,1.7,914.0,1732.0,1516.0,1.86239520958,148.917365269,2.18753866988
Some high school,18260.0,1205.0,2434.0,1840.0,1.8,880.0,2000.0,1472.0,2.03964071856,753.40239521,2.17932237136
High school graduate,57880.0,1960.0,3179.0,2631.0,2.3,1458.0,2550.0,2078.0,2.21688622754,1357.88742515,2.3189994461
Some college,35337.0,2204.0,3598.0,2789.0,2.6,1556.0,2917.0,2130.0,2.39413173653,1962.37245509,2.34268171828
Vocational certificate*,24709.0,2400.0,3538.0,2945.0,2.6,1898.0,2950.0,2400.0,2.57137724551,2566.85748503,2.4253280151
Associate's degree,18429.0,3001.0,4166.0,3562.0,3.0,2408.0,3456.0,2923.0,2.74862275449,3171.34251497,2.5485724928
Bachelor's degree,38782.0,4259.0,5445.0,5034.0,3.0,3188.0,4355.0,3874.0,2.92586826347,3775.82754491,2.73706404694
Master's degree,15132.0,5564.0,6731.0,6243.0,3.1,4508.0,5417.0,5000.0,3.10311377246,4380.31257485,3.05604975395
Professional degree,3232.0,9501.0,11927.0,11071.0,3.3,6125.0,7417.0,7128.0,3.28035928144,4984.79760479,3.44680724502
Doctorate degree,2486.0,7466.0,8434.0,8116.0,3.2,5756.0,6833.0,6260.0,3.45760479042,5589.28263473,3.35763624057
