Table with row headers in column A and column headers in rows 5 through 6,,,,,,,,,,,,,,,,,,
"Table 1.  Educational Attainment of the Population 18 Years and Over, by Age, Sex, Race, and Hispanic Origin:  2015",,,,,,,,,,,,,,,,,,
(Numbers in thousands.  Civilian noninstitutionalized population /1.),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Hispanic (of any race),Educational Attainment,,,,,,,,,,,,,,,,,
,Total,None,1st - 4th grade,5th - 6th grade,7th - 8th grade,9th grade,10th grade,11th grade /2,High school graduate,"Some college, no degree","Associate's degree, occupational","Associate's degree, academic",Bachelor's degree,Master's degree,Professional degree,Doctoral degree,,
Both Sexes,,,,,,,,,,,,,,,,,,
.18 years and over,"37,509",438,"1,278","2,675","1,649","1,781","1,135","2,925","11,529","6,440","1,133","1,432","3,611","1,099",215,169,,
..18 to 24 years,"6,488",17,57,83,78,140,207,960,"2,272","2,043",150,190,273,14,5,-,,
.25 years and over,"31,020",421,"1,221","2,593","1,571","1,641",929,"1,964","9,257","4,397",983,"1,242","3,338","1,085",209,169,,
..25 to 29 years,"4,487",17,50,170,128,185,130,347,"1,399",907,191,225,595,120,14,8,,
..30 to 34 years,"4,307",41,111,216,150,267,123,313,"1,366",697,157,149,513,154,33,17,,
..35 to 39 years,"4,172",43,108,387,217,285,127,281,"1,222",582,121,171,440,132,34,22,,
..40 to 44 years,"3,832",48,106,345,249,238,103,223,"1,131",488,115,169,413,156,31,18,,
..45 to 49 years,"3,414",40,87,306,181,200,121,213,993,448,120,131,401,136,22,15,,
..50 to 54 years,"2,990",42,156,273,154,140,100,171,893,384,90,115,311,116,19,28,,
..55 to 59 years,"2,312",28,117,254,143,101,50,118,700,274,58,103,242,96,16,13,,
..60 to 64 years,"1,870",23,114,195,105,79,54,104,576,225,53,74,184,56,13,14,,
..65 to 69 years,"1,395",36,100,150,85,44,40,72,387,172,37,62,120,58,19,14,,
..70 to 74 years,834,29,82,112,47,45,40,58,200,95,19,21,50,21,3,12,,
..75 years and over,"1,407",76,190,185,114,56,42,66,389,124,20,23,69,41,5,8,,
Male,,,,,,,,,,,,,,,,,,
.18 years and over,"18,705",225,635,"1,379",848,935,574,"1,545","5,978","3,112",502,652,"1,686",439,112,82,,
..18 to 24 years,"3,312",11,30,54,46,69,99,522,"1,230",986,70,79,108,3,3,-,,
.25 years and over,"15,393",214,605,"1,324",802,866,475,1023,"4,747","2,125",432,573,"1,577",436,109,82,,
..25 to 29 years,"2,366",10,16,114,69,101,73,191,822,433,96,98,288,45,6,4,,
..30 to 34 years,"2,194",27,71,127,86,146,69,164,723,334,79,65,234,51,11,7,,
..35 to 39 years,"2,139",28,61,208,121,155,67,160,640,280,57,85,220,39,13,7,,
..40 to 44 years,"1,909",27,64,183,127,123,58,114,602,229,47,70,179,62,17,9,,
..45 to 49 years,"1,719",18,46,148,94,119,58,117,522,220,50,66,180,57,16,9,,
..50 to 54 years,"1,486",27,78,142,83,69,55,96,429,190,34,58,151,49,12,13,,
..55 to 59 years,"1,125",17,70,122,63,53,23,54,340,132,25,56,108,47,9,7,,
..60 to 64 years,887,11,60,99,56,31,25,53,259,110,17,34,95,27,5,5,,
..65 to 69 years,616,12,37,67,37,21,12,32,163,85,10,29,63,28,13,8,,
..70 to 74 years,364,14,32,47,23,23,17,18,84,46,12,8,24,9,3,6,,
..75 years and over,587,22,72,68,43,27,20,25,163,67,6,6,36,23,3,6,,
Female,,,,,,,,,,,,,,,,,,
.18 years and over,"18,804",213,643,"1,296",801,845,561,"1,380","5,552","3,328",631,780,"1,925",660,102,87,,
..18 to 24 years,"3,177",5,27,28,32,71,108,438,1042,"1,056",80,112,165,10,2,-,,
.25 years and over,"15,627",208,616,"1,268",769,775,453,942,"4,510","2,272",551,669,"1,760",649,100,87,,
..25 to 29 years,"2,120",7,34,57,59,85,57,156,578,474,95,127,307,76,7,3,,
..30 to 34 years,"2,113",14,40,89,64,122,54,149,643,364,78,84,279,103,21,11,,
..35 to 39 years,"2,033",14,47,179,97,130,60,121,582,302,65,86,220,93,21,15,,
..40 to 44 years,"1,923",21,42,162,121,115,45,109,529,260,68,99,234,94,14,9,,
..45 to 49 years,"1,695",22,41,158,87,81,63,96,471,228,70,65,221,79,6,6,,
..50 to 54 years,"1,504",15,78,131,71,70,45,75,464,194,56,57,160,66,7,15,,
..55 to 59 years,"1,186",11,47,131,80,49,27,64,360,143,33,47,134,49,7,6,,
..60 to 64 years,983,12,54,96,49,48,29,51,317,115,36,40,90,30,8,9,,
..65 to 69 years,779,24,63,83,48,23,28,41,224,87,28,33,57,30,6,5,,
..70 to 74 years,471,15,50,65,24,23,24,40,116,49,7,13,27,11,-,7,,
..75 years and over,820,53,118,117,71,30,21,40,225,58,15,17,33,18,2,2,,
Footnotes:,,,,,,,,,,,,,,,,,,
A dash (-) represents zero or rounds to zero.,,,,,,,,,,,,,,,,,,
/1 Plus armed forces living off post or with their families on post.,,,,,,,,,,,,,,,,,,
/2 Respondents who have completed 12th grade but did not receive a diploma are included in this category.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Source:  U.S. Census Bureau, Current Population Survey, 2015 Annual Social and Economic Supplement",,,,,,,,,,,,,,,,,,
