Table with row headers in column A and column headers in rows 5 through 6,,,,,,,,,,,,,,,,,,
"Table 1.  Educational Attainment of the Population 18 Years and Over, by Age, Sex, Race, and Hispanic Origin:  2015",,,,,,,,,,,,,,,,,,
(Numbers in thousands.  Civilian noninstitutionalized population /1.),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Non-Hispanic White alone,Educational Attainment,,,,,,,,,,,,,,,,,
,Total,None,1st - 4th grade,5th - 6th grade,7th - 8th grade,9th grade,10th grade,11th grade /2,High school graduate,"Some college, no degree","Associate's degree, occupational","Associate's degree, academic",Bachelor's degree,Master's degree,Professional degree,Doctoral degree,,
Both Sexes,,,,,,,,,,,,,,,,,,
.18 years and over,"157,151",200,300,403,"1,810","1,411","2,351","5,319","46,241","29,928","6,991","8,966","34,072","13,904","2,601","2,652",,
..18 to 24 years,"16,513",39,24,15,100,132,279,"1,751","4,715","6,185",396,598,"2,145",128,6,-,,
.25 years and over,"140,638",161,277,388,"1,710","1,278","2,073","3,568","41,526","23,743","6,595","8,369","31,927","13,776","2,595","2,652",,
..25 to 29 years,"12,396",11,4,11,45,62,132,303,"2,891","2,244",578,780,"4,080",973,138,142,,
..30 to 34 years,"12,185",3,20,12,72,85,136,309,"2,682","2,100",621,909,"3,351","1,401",252,232,,
..35 to 39 years,"11,390",26,5,24,58,90,121,264,"2,831","1,837",566,756,"2,992","1,364",212,246,,
..40 to 44 years,"11,877",6,18,12,85,51,129,233,"2,927","2,000",611,788,"3,140","1,331",283,262,,
..45 to 49 years,"12,991",19,11,21,83,91,164,285,"3,686","2,061",661,800,"3,222","1,435",260,192,,
..50 to 54 years,"15,012",7,16,18,117,135,197,402,"4,649","2,438",769,"1,011","3,447","1,320",242,244,,
..55 to 59 years,"15,272",12,26,41,137,116,203,417,"4,794","2,676",796,991,"3,061","1,425",281,296,,
..60 to 64 years,"13,788",7,21,31,126,113,140,286,"4,201","2,518",697,846,"2,744","1,486",303,270,,
..65 to 69 years,"11,834",32,31,48,143,97,165,247,"3,755","2,139",521,617,"2,245","1,262",224,309,,
..70 to 74 years,"8,783",-,24,52,199,107,231,249,"3,124","1,535",326,374,"1,435",797,152,177,,
..75 years and over,"15,111",37,101,119,645,332,455,573,"5,986","2,196",448,497,"2,210",982,247,282,,
Male,,,,,,,,,,,,,,,,,,
.18 years and over,"76,439",106,158,239,900,686,"1,188","2,725","23,238","14,493","3,260","3,738","16,399","6,120","1,602","1,587",,
..18 to 24 years,"8,379",15,8,9,58,74,154,926,"2,704","3,036",177,248,933,37,2,-,,
.25 years and over,"68,059",91,150,230,843,612,"1,034","1,798","20,535","11,457","3,083","3,491","15,466","6,083","1,600","1,587",,
..25 to 29 years,"6,229",8,-,-,21,31,65,182,"1,683","1,168",245,369,"1,945",394,60,58,,
..30 to 34 years,"6,100",3,12,6,32,42,70,183,"1,566","1,066",304,410,"1,565",561,161,121,,
..35 to 39 years,"5,709",16,4,14,32,48,94,151,"1,629",953,304,297,"1,390",570,102,104,,
..40 to 44 years,"5,922",2,16,7,44,31,72,123,"1,666","1,035",282,338,"1,494",520,167,126,,
..45 to 49 years,"6,440",18,4,16,42,47,88,168,"2,043",981,327,256,"1,495",705,156,96,,
..50 to 54 years,"7,423",1,8,11,54,82,113,254,"2,475","1,115",376,398,"1,625",618,139,153,,
..55 to 59 years,"7,470",8,14,36,64,71,128,212,"2,434","1,274",396,400,"1,475",590,168,198,,
..60 to 64 years,"6,714",-,11,20,61,61,78,133,"2,002","1,256",313,380,"1,425",607,188,181,,
..65 to 69 years,"5,641",25,20,23,75,39,52,107,"1,596","1,043",223,269,"1,199",612,158,199,,
..70 to 74 years,"4,115",-,18,31,102,47,105,104,"1,301",684,131,179,757,408,123,124,,
..75 years and over,"6,295",9,42,66,316,112,170,182,"2,141",881,183,194,"1,096",500,177,227,,
Female,,,,,,,,,,,,,,,,,,
.18 years and over,"80,712",94,142,164,910,725,"1,163","2,595","23,003","15,436","3,731","5,228","17,674","7,784",999,"1,066",,
..18 to 24 years,"8,133",23,15,7,42,58,125,825,"2,012","3,149",220,350,"1,212",91,5,-,,
.25 years and over,"72,579",70,127,157,868,666,"1,038","1,770","20,991","12,287","3,511","4,878","16,462","7,693",995,"1,066",,
..25 to 29 years,"6,167",3,4,11,24,30,68,121,"1,208","1,076",333,411,"2,135",580,79,83,,
..30 to 34 years,"6,084",-,8,6,39,43,66,127,"1,117",1034,317,499,"1,786",841,91,111,,
..35 to 39 years,"5,681",9,1,10,26,42,27,112,"1,202",884,261,459,"1,602",795,109,142,,
..40 to 44 years,"5,954",4,3,5,42,20,58,110,"1,262",965,329,450,"1,646",811,116,135,,
..45 to 49 years,"6,551",1,7,5,41,44,77,116,"1,644","1,080",334,544,"1,727",731,104,96,,
