citing_cluster,cited_cluster
21,28,3.0
11,28,3.0
16,28,1.0
21,9,1.0
18,19,1.0
21,6,1.0
16,19,1.0
29,27,1.0
28,5,1.0
11,5,1.0
6,10,5.0
16,22,3.0
22,28,5.0
27,28,1.0
16,15,1.0
28,10,12.0
10,13,5.0
29,11,4.0
11,21,2.0
7,22,1.0
13,10,4.0
18,10,1.0
2,28,1.0
28,15,3.0
29,14,1.0
10,29,24.0
29,13,2.0
28,22,5.0
11,10,56.0
6,29,1.0
20,21,1.0
16,29,10.0
19,11,1.0
23,21,1.0
13,29,4.0
22,10,8.0
28,6,1.0
14,28,5.0
19,28,1.0
10,19,2.0
22,29,1.0
21,11,1.0
12,29,1.0
29,16,1.0
5,10,1.0
28,11,1.0
19,29,37.0
29,10,5.0
15,28,1.0
13,22,1.0
28,18,1.0
29,19,11.0
28,29,64.0
29,0,1.0
9,29,5.0
4,22,1.0
10,26,2.0
11,19,2.0
22,27,1.0
8,29,1.0
11,13,1.0
25,29,1.0
15,22,19.0
11,17,1.0
22,11,1.0
14,29,9.0
29,6,1.0
11,7,2.0
24,29,2.0
3,22,1.0
24,16,1.0
21,29,20.0
11,29,12.0
21,10,44.0
26,10,1.0
22,1,1.0
29,28,16.0
10,11,16.0
29,9,2.0
24,19,2.0
10,21,5.0
13,21,4.0
28,19,1.0
27,29,2.0
9,28,2.0
21,13,2.0
7,10,10.0
6,22,2.0
5,22,1.0
19,10,5.0
10,22,13.0
0,29,1.0
24,10,1.0
21,19,1.0
26,21,1.0
23,29,1.0
22,15,19.0
29,21,1.0
28,14,2.0
5,28,1.0
10,28,9.0
19,9,1.0
28,21,11.0
18,29,7.0
