article_doi,group
10.1103/PhysRevLett.100.063001,1068.0
10.1103/PhysRevLett.101.035301,1068.0
10.1103/PhysRevLett.101.233401,1068.0
10.1103/PhysRevLett.102.073007,1068.0
10.1103/PhysRevLett.102.183401,1068.0
10.1103/PhysRevLett.103.035302,1068.0
10.1103/PhysRevLett.105.133401,1068.0
10.1103/PhysRevLett.105.133402,1068.0
10.1103/PhysRevLett.106.083401,1068.0
10.1103/PhysRevLett.106.233401,1068.0
10.1103/PhysRevLett.107.113004,1068.0
10.1103/PhysRevLett.108.155302,1068.0
10.1103/PhysRevLett.108.253402,1068.0
10.1103/PhysRevLett.109.083003,1068.0
10.1103/PhysRevLett.109.168302,1068.0
10.1103/PhysRevLett.109.235305,1068.0
10.1103/PhysRevLett.110.093002,1068.0
10.1103/PhysRevLett.110.260401,1068.0
10.1103/PhysRevLett.111.153002,1068.0
10.1103/PhysRevLett.112.143401,1068.0
10.1103/PhysRevLett.113.043004,1068.0
10.1103/PhysRevLett.113.073005,1068.0
10.1103/PhysRevLett.113.123005,1068.0
10.1103/PhysRevLett.113.153001,1068.0
10.1103/PhysRevLett.114.255501,1068.0
10.1103/PhysRevLett.98.075301,1068.0
10.1103/PhysRevLett.98.183004,1068.0
10.1103/PhysRevLett.99.103001,1068.0
10.1103/PhysRevLett.99.138101,1068.0
