citing_doi,cited_doi
10.1103/PhysRevLett.108.165501,10.1103/PhysRevLett.105.045901
10.1103/PhysRevLett.107.255501,10.1103/PhysRevLett.105.265501
10.1103/PhysRevX.5.011041,10.1103/PhysRevX.3.041035
10.1103/PhysRevLett.108.115903,10.1103/PhysRevLett.104.056401
10.1103/PhysRevLett.105.248301,10.1103/RevModPhys.82.1843
10.1103/PhysRevLett.112.215501,10.1103/PhysRevLett.101.106405
10.1103/PhysRevLett.115.097002,10.1103/PhysRevLett.105.037002
10.1103/PhysRevLett.115.177401,10.1103/PhysRevLett.101.106405
10.1103/PhysRevLett.115.097002,10.1103/PhysRevLett.111.057006
10.1103/PhysRevLett.110.226404,10.1103/PhysRevLett.104.136401
10.1103/PhysRevLett.115.097002,10.1103/PhysRevLett.106.236404
10.1103/PhysRevLett.115.176401,10.1103/PhysRevLett.108.167402
10.1103/PhysRevLett.114.136601,10.1103/PhysRevLett.110.146601
10.1103/PhysRevLett.113.076402,10.1103/PhysRevLett.98.066807
10.1103/PhysRevLett.108.115903,10.1103/PhysRevLett.105.045901
10.1103/PhysRevLett.107.255501,10.1103/PhysRevLett.101.106405
10.1103/PhysRevX.4.011019,10.1103/PhysRevLett.108.068701
10.1103/PhysRevLett.111.106402,10.1103/PhysRevLett.106.236404
10.1103/PhysRevLett.108.167402,10.1103/PhysRevLett.105.265501
10.1103/PhysRevLett.105.265501,10.1103/PhysRevLett.105.037002
10.1103/RevModPhys.82.1843,10.1103/PhysRevLett.99.136803
10.1103/PhysRevLett.114.146404,10.1103/PhysRevLett.110.196403
10.1103/PhysRevLett.108.115903,10.1103/PhysRevLett.104.175503
10.1103/PhysRevLett.110.226404,10.1103/PhysRevLett.105.265501
10.1103/PhysRevLett.115.176401,10.1103/PhysRevLett.110.196403
10.1103/PhysRevLett.104.136401,10.1103/PhysRevLett.104.056401
10.1103/PhysRevX.5.011006,10.1103/PhysRevX.3.041035
10.1103/PhysRevLett.104.226403,10.1103/PhysRevLett.100.016401
10.1103/PhysRevX.4.011019,10.1103/PhysRevX.3.041035
10.1103/PhysRevLett.104.175503,10.1103/PhysRevLett.99.235502
10.1103/PhysRevLett.115.176401,10.1103/PhysRevLett.107.255501
10.1103/PhysRevLett.115.176401,10.1103/PhysRevLett.112.215501
10.1103/PhysRevLett.108.115903,10.1103/PhysRevLett.99.235502
10.1103/PhysRevLett.108.115903,10.1103/PhysRevLett.104.136401
10.1103/PhysRevLett.115.177401,10.1103/PhysRevLett.108.167402
10.1103/PhysRevLett.106.137602,10.1103/PhysRevLett.105.164801
10.1103/RevModPhys.82.1843,10.1103/PhysRevLett.101.027002
10.1103/PhysRevLett.113.076402,10.1103/PhysRevLett.107.186404
10.1103/PhysRevLett.104.226403,10.1103/PhysRevLett.104.056401
10.1103/PhysRevLett.115.176401,10.1103/PhysRevLett.110.226404
10.1103/PhysRevLett.114.147202,10.1103/PhysRevLett.110.146601
10.1103/PhysRevLett.100.166402,10.1103/PhysRevLett.98.047003
10.1103/PhysRevLett.105.045901,10.1103/PhysRevLett.99.235502
10.1103/PhysRevX.4.011019,10.1103/PhysRevX.1.021012
10.1103/PhysRevLett.101.106405,10.1103/PhysRevLett.98.095503
10.1103/PhysRevLett.115.205901,10.1103/PhysRevX.4.011019
10.1103/PhysRevLett.114.115901,10.1103/PhysRevLett.99.236405
10.1103/PhysRevLett.112.215501,10.1103/PhysRevLett.105.265501
10.1103/PhysRevLett.105.186602,10.1103/PhysRevLett.100.206403
10.1103/PhysRevLett.105.248301,10.1103/PhysRevLett.102.046804
10.1103/PhysRevX.5.011006,10.1103/PhysRevLett.108.068701
10.1103/PhysRevLett.108.167402,10.1103/PhysRevLett.101.106405
10.1103/PhysRevLett.115.205901,10.1103/PhysRevLett.113.185501
10.1103/PhysRevLett.115.177401,10.1103/PhysRevLett.105.265501
10.1103/PhysRevLett.114.136601,10.1103/PhysRevX.1.021012
10.1103/PhysRevLett.109.116801,10.1103/PhysRevLett.105.265501
10.1103/PhysRevX.5.011006,10.1103/PhysRevX.1.021012
10.1103/PhysRevLett.105.037002,10.1103/PhysRevLett.100.166402
10.1103/PhysRevLett.114.047402,10.1103/PhysRevLett.106.027401
10.1103/PhysRevX.1.021012,10.1103/PhysRevX.1.021005
10.1103/PhysRevLett.106.027401,10.1103/PhysRevLett.100.206403
10.1103/PhysRevLett.110.226404,10.1103/PhysRevLett.104.056401
10.1103/PhysRevX.5.011006,10.1103/PhysRevX.4.011019
10.1103/PhysRevLett.108.068701,10.1103/PhysRevLett.104.056401
10.1103/PhysRevLett.115.176401,10.1103/PhysRevLett.112.257402
10.1103/PhysRevLett.106.137602,10.1103/PhysRevLett.105.265501
10.1103/PhysRevLett.113.076402,10.1103/PhysRevLett.111.106402
10.1103/PhysRevLett.115.177401,10.1103/PhysRevLett.107.255501
10.1103/PhysRevLett.105.037002,10.1103/PhysRevLett.100.226401
10.1103/PhysRevLett.115.205901,10.1103/PhysRevLett.110.146601
10.1103/PhysRevLett.114.146404,10.1103/PhysRevLett.114.063001
