Table with row headers in column A and column headers in rows 5 through 6,,,,,,,,,,,,,,,,,,
"Table 1.  Educational Attainment of the Population 18 Years and Over, by Age, Sex, Race, and Hispanic Origin:  2015",,,,,,,,,,,,,,,,,,
(Numbers in thousands.  Civilian noninstitutionalized population /1.),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Asian alone,Educational Attainment,,,,,,,,,,,,,,,,,
,Total,None,1st - 4th grade,5th - 6th grade,7th - 8th grade,9th grade,10th grade,11th grade /2,High school graduate,"Some college, no degree","Associate's degree, occupational","Associate's degree, academic",Bachelor's degree,Master's degree,Professional degree,Doctoral degree,,
Both Sexes,,,,,,,,,,,,,,,,,,
.18 years and over,"14,041",140,168,233,235,142,189,415,"2,608","2,042",331,538,"4,313","1,823",330,534,,
..18 to 24 years,"1,709",3,3,3,11,7,20,129,252,859,28,46,301,46,-,2,,
.25 years and over,"12,331",137,165,230,224,135,169,285,"2,356","1,183",302,492,"4,013","1,776",330,532,,
..25 to 29 years,"1,485",4,9,7,7,4,17,19,212,151,29,61,635,256,38,37,,
..30 to 34 years,"1,557",2,3,5,9,17,12,21,201,175,36,63,560,319,74,61,,
..35 to 39 years,"1,420",14,2,9,4,7,10,22,200,132,41,59,493,263,54,111,,
..40 to 44 years,"1,394",6,6,14,11,15,6,30,233,107,37,69,481,252,41,87,,
..45 to 49 years,"1,252",8,7,16,22,15,12,27,253,76,37,71,427,196,24,62,,
..50 to 54 years,"1,194",11,11,14,21,10,20,24,248,134,24,52,380,173,14,56,,
..55 to 59 years,1057,12,21,21,32,8,23,48,243,110,28,36,292,129,19,35,,
..60 to 64 years,943,12,20,33,26,14,24,24,239,102,27,38,268,72,22,21,,
..65 to 69 years,723,17,21,23,34,7,16,20,182,75,18,18,200,43,21,29,,
..70 to 74 years,504,7,19,25,20,15,13,22,109,63,11,16,127,32,8,18,,
..75 years and over,802,45,46,62,39,23,16,28,236,58,15,10,150,42,16,16,,
Male,,,,,,,,,,,,,,,,,,
.18 years and over,"6,631",43,49,80,84,58,79,209,"1,200",1024,138,225,"2,014",945,158,323,,
..18 to 24 years,869,1,-,-,7,2,10,67,140,441,11,21,151,17,-,2,,
.25 years and over,"5,761",43,49,80,78,57,70,142,"1,060",583,127,204,"1,863",928,158,321,,
..25 to 29 years,724,1,5,-,5,1,8,6,111,89,11,32,297,123,14,20,,
..30 to 34 years,738,1,-,3,6,6,10,18,112,70,18,25,257,156,27,28,,
..35 to 39 years,656,5,1,3,4,3,5,2,84,54,23,19,227,136,33,56,,
..40 to 44 years,632,2,2,6,-,6,2,15,106,43,13,21,218,124,20,54,,
..45 to 49 years,602,2,5,8,9,8,5,16,114,34,17,27,196,116,6,37,,
..50 to 54 years,558,4,7,4,9,3,9,13,97,77,10,21,162,101,6,35,,
..55 to 59 years,491,3,5,6,2,4,9,35,99,55,10,19,138,66,13,27,,
..60 to 64 years,435,5,6,15,8,4,6,8,106,51,8,18,132,44,12,10,,
..65 to 69 years,338,-,-,11,10,5,4,8,87,42,8,11,92,21,14,24,,
..70 to 74 years,226,1,9,6,5,6,3,10,37,43,2,4,68,12,5,16,,
..75 years and over,361,17,8,18,19,11,7,11,108,25,7,5,76,29,7,12,,
Female,,,,,,,,,,,,,,,,,,
.18 years and over,"7,410",97,118,153,151,84,110,205,"1,408",1018,193,313,"2,299",878,172,212,,
..18 to 24 years,840,2,3,3,4,5,10,62,112,418,17,25,149,30,-,-,,
.25 years and over,"6,570",95,116,150,147,79,100,143,"1,296",600,176,288,"2,149",848,172,212,,
..25 to 29 years,761,3,3,7,2,3,9,13,101,62,18,29,338,133,24,16,,
..30 to 34 years,819,1,3,2,3,11,1,3,89,105,18,38,303,163,47,32,,
..35 to 39 years,764,8,1,6,-,4,5,20,115,79,18,39,266,127,21,55,,
..40 to 44 years,763,4,4,8,11,10,4,15,127,63,24,48,263,128,21,33,,
..45 to 49 years,650,6,2,8,12,7,7,10,139,42,19,43,231,81,18,24,,
..50 to 54 years,635,7,4,9,12,7,11,11,152,57,14,31,219,72,8,22,,
..55 to 59 years,566,9,16,15,30,4,13,14,144,55,18,17,154,63,6,8,,
..60 to 64 years,508,7,15,17,18,10,18,16,133,51,19,20,136,28,10,11,,
..65 to 69 years,385,17,21,12,24,2,12,12,95,33,11,7,109,21,6,4,,
..70 to 74 years,278,6,10,20,15,9,10,12,73,20,9,11,59,19,3,2,,
..75 years and over,441,27,38,44,21,12,9,17,128,34,8,5,73,13,9,4,,
Footnotes:,,,,,,,,,,,,,,,,,,
A dash (-) represents zero or rounds to zero.,,,,,,,,,,,,,,,,,,
/1 Plus armed forces living off post or with their families on post.,,,,,,,,,,,,,,,,,,
/2 Respondents who have completed 12th grade but did not receive a diploma are included in this category.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Source:  U.S. Census Bureau, Current Population Survey, 2015 Annual Social and Economic Supplement",,,,,,,,,,,,,,,,,,
