Table with row headers in column A and column headers in rows 5 through 6,,,,,,,,,,,,,,,,,,
"Table 1.  Educational Attainment of the Population 18 Years and Over, by Age, Sex, Race, and Hispanic Origin:  2015",,,,,,,,,,,,,,,,,,
(Numbers in thousands.  Civilian noninstitutionalized population /1.),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Black alone,Educational Attainment,,,,,,,,,,,,,,,,,
,Total,None,1st - 4th grade,5th - 6th grade,7th - 8th grade,9th grade,10th grade,11th grade /2,High school graduate,"Some college, no degree","Associate's degree, occupational","Associate's degree, academic",Bachelor's degree,Master's degree,Professional degree,Doctoral degree,,
Both Sexes,,,,,,,,,,,,,,,,,,
.18 years and over,"30,097",87,158,226,394,376,821,"2,111","10,268","6,899","1,225","1,533","3,901","1,689",197,211,,
..18 to 24 years,"4,677",7,3,2,12,42,124,687,"1,590","1,699",102,124,265,20,-,-,,
.25 years and over,"25,420",80,155,224,383,334,698,"1,423","8,678","5,200","1,123","1,409","3,636","1,669",197,211,,
..25 to 29 years,"3,134",7,7,3,12,8,53,153,1076,862,145,163,494,126,19,4,,
..30 to 34 years,"2,810",-,9,9,11,22,68,115,943,663,123,177,458,185,12,14,,
..35 to 39 years,"2,658",5,14,8,20,27,45,139,821,572,112,192,460,219,9,14,,
..40 to 44 years,"2,604",10,4,8,15,11,40,135,841,524,148,149,418,248,22,30,,
..45 to 49 years,"2,633",10,3,17,29,32,58,115,933,502,103,164,393,199,37,38,,
..50 to 54 years,"2,763",10,14,19,32,33,76,157,972,496,158,171,406,165,29,26,,
..55 to 59 years,"2,525",7,7,9,39,33,64,174,914,513,127,116,312,168,9,34,,
..60 to 64 years,"2,149",3,22,13,49,41,79,145,740,410,74,119,279,135,19,19,,
..65 to 69 years,"1,587",8,20,37,33,36,49,100,503,324,69,83,200,94,14,17,,
..70 to 74 years,974,4,16,36,37,29,67,76,364,140,25,31,88,49,9,4,,
..75 years and over,"1,583",15,39,65,107,62,99,115,573,194,38,42,127,81,17,10,,
Male,,,,,,,,,,,,,,,,,,
.18 years and over,"13,643",30,74,123,196,141,413,"1,016","5,065","3,095",481,527,"1,665",640,83,93,,
..18 to 24 years,"2,272",2,-,-,2,15,77,351,824,785,42,39,131,6,-,-,,
.25 years and over,"11,371",29,74,123,194,126,336,665,"4,242","2,310",439,488,"1,535",634,83,93,,
..25 to 29 years,"1,490",5,4,1,4,6,31,77,619,385,50,62,212,28,4,2,,
..30 to 34 years,"1,281",-,3,7,3,10,28,63,453,310,40,61,213,80,3,6,,
..35 to 39 years,"1,205",4,7,3,7,14,28,79,396,262,42,72,194,87,3,7,,
..40 to 44 years,"1,169",-,2,2,5,1,20,55,450,243,59,53,159,100,8,12,,
..45 to 49 years,"1,198",6,1,10,20,8,31,52,461,209,51,40,187,94,11,18,,
..50 to 54 years,"1,260",4,7,14,16,21,40,74,500,221,62,59,164,50,17,12,,
..55 to 59 years,"1,129",4,2,5,21,14,30,87,435,222,41,46,143,60,5,14,,
..60 to 64 years,978,1,6,6,31,15,46,80,348,184,32,47,111,52,12,5,,
..65 to 69 years,697,-,9,8,19,14,20,47,236,148,37,23,84,33,8,9,,
..70 to 74 years,397,-,12,24,21,8,28,22,151,54,13,8,31,18,6,2,,
..75 years and over,569,4,20,44,47,16,33,30,194,73,11,18,36,31,6,6,,
Female,,,,,,,,,,,,,,,,,,
.18 years and over,"16,454",57,84,102,199,235,408,"1,095","5,202","3,804",744,1007,"2,236",1049,114,118,,
..18 to 24 years,"2,406",6,3,2,10,27,47,337,766,914,60,86,135,14,-,-,,
.25 years and over,"14,048",51,80,101,189,208,361,758,"4,436","2,890",685,921,"2,101",1035,114,118,,
..25 to 29 years,"1,644",1,3,2,8,3,22,76,456,478,95,102,282,98,15,3,,
..30 to 34 years,"1,529",-,6,1,8,12,40,52,490,354,83,116,245,105,9,8,,
..35 to 39 years,"1,454",1,6,6,13,13,17,60,425,310,70,121,266,132,6,7,,
..40 to 44 years,"1,435",10,2,6,11,10,21,79,391,281,89,97,260,148,14,18,,
..45 to 49 years,"1,435",4,2,7,9,24,27,63,471,293,52,124,206,105,27,20,,
..50 to 54 years,"1,503",6,7,5,15,12,36,83,472,275,96,112,242,115,12,14,,
..55 to 59 years,"1,396",2,4,4,18,19,34,87,479,291,86,70,169,107,4,20,,
..60 to 64 years,"1,171",2,16,7,18,26,33,65,392,226,42,72,168,83,7,15,,
..65 to 69 years,890,8,11,29,14,21,29,53,266,176,32,60,116,61,5,8,,
..70 to 74 years,577,4,3,12,16,21,39,54,213,85,12,23,57,31,4,2,,
..75 years and over,"1,014",11,19,22,59,46,66,85,379,121,27,23,90,50,11,4,,
Footnotes:,,,,,,,,,,,,,,,,,,
A dash (-) represents zero or rounds to zero.,,,,,,,,,,,,,,,,,,
/1 Plus armed forces living off post or with their families on post.,,,,,,,,,,,,,,,,,,
/2 Respondents who have completed 12th grade but did not receive a diploma are included in this category.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Source:  U.S. Census Bureau, Current Population Survey, 2015 Annual Social and Economic Supplement",,,,,,,,,,,,,,,,,,
