Table with row headers in column A and column headers in rows 5 through 6,,,,,,,,,,,,,,,,,,
"Table 1.  Educational Attainment of the Population 18 Years and Over, by Age, Sex, Race, and Hispanic Origin:  2015",,,,,,,,,,,,,,,,,,
(Numbers in thousands.  Civilian noninstitutionalized population /1.),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Black alone or in combination,Educational Attainment,,,,,,,,,,,,,,,,,
,Total,None,1st - 4th grade,5th - 6th grade,7th - 8th grade,9th grade,10th grade,11th grade /2,High school graduate,"Some college, no degree","Associate's degree, occupational","Associate's degree, academic",Bachelor's degree,Master's degree,Professional degree,Doctoral degree,,
Both Sexes,,,,,,,,,,,,,,,,,,
.18 years and over,"31,691",93,168,244,415,413,852,"2,229","10,718","7,334","1,275","1,628","4,113","1,768",213,229,,
..18 to 24 years,"5,149",7,6,4,12,49,138,768,"1,753","1,849",114,138,287,23,-,-,,
.25 years and over,"26,543",85,162,240,403,364,713,"1,461","8,965","5,485","1,161","1,490","3,826","1,745",213,229,,
..25 to 29 years,"3,383",7,7,3,12,13,53,168,"1,146",938,154,180,539,135,22,5,,
..30 to 34 years,"2,983",-,9,11,13,22,68,120,1000,715,127,188,489,193,12,14,,
..35 to 39 years,"2,813",5,14,10,20,32,47,143,848,620,118,200,494,232,11,20,,
..40 to 44 years,"2,732",13,4,8,18,16,42,135,878,556,150,165,441,255,22,30,,
..45 to 49 years,"2,722",10,3,19,36,42,59,116,950,519,103,171,408,203,41,43,,
..50 to 54 years,"2,845",10,16,23,32,33,76,161,995,506,165,181,417,173,31,26,,
..55 to 59 years,"2,583",7,8,9,39,35,64,175,936,527,131,118,321,172,9,34,,
..60 to 64 years,"2,233",6,26,16,49,43,82,150,757,432,74,125,290,145,21,19,,
..65 to 69 years,"1,621",8,20,37,36,37,49,101,507,331,73,86,207,99,14,17,,
..70 to 74 years,1013,4,16,38,39,29,73,76,371,145,26,33,90,54,11,6,,
..75 years and over,"1,615",15,39,65,111,63,101,117,579,197,40,43,128,85,19,14,,
Male,,,,,,,,,,,,,,,,,,
.18 years and over,"14,353",33,78,139,205,160,425,"1,080","5,276","3,280",499,575,"1,752",658,89,103,,
..18 to 24 years,"2,470",2,2,2,2,18,80,399,897,832,46,46,137,6,-,-,,
.25 years and over,"11,883",31,76,137,204,142,345,682,"4,379","2,447",452,529,"1,615",652,89,103,,
..25 to 29 years,"1,619",5,4,1,4,9,31,82,651,424,55,75,238,31,4,2,,
..30 to 34 years,"1,369",-,3,10,3,10,28,66,485,344,40,65,224,82,3,6,,
..35 to 39 years,"1,263",4,8,4,7,16,28,82,413,278,43,74,203,89,5,10,,
..40 to 44 years,"1,231",3,2,2,7,3,21,55,473,257,59,61,165,102,8,12,,
..45 to 49 years,"1,231",6,1,12,22,14,32,52,467,218,51,43,189,94,11,21,,
..50 to 54 years,"1,295",4,7,16,16,21,40,76,508,226,66,63,172,50,17,12,,
..55 to 59 years,"1,156",4,4,5,21,14,30,87,443,231,41,46,149,62,5,14,,
..60 to 64 years,"1,012",1,6,8,31,17,46,84,353,190,32,50,117,57,14,5,,
..65 to 69 years,712,-,9,8,19,16,20,47,236,151,38,25,88,36,9,9,,
..70 to 74 years,421,-,12,26,23,8,34,22,155,56,13,9,33,18,8,4,,
..75 years and over,575,4,20,44,50,16,33,30,194,73,13,18,36,31,6,8,,
Female,,,,,,,,,,,,,,,,,,
.18 years and over,"17,338",60,89,105,210,253,427,"1,149","5,442","4,054",777,1053,"2,361","1,110",124,126,,
..18 to 24 years,"2,679",6,3,2,10,30,58,370,855,1017,68,92,150,17,-,-,,
.25 years and over,"14,660",54,86,103,199,222,368,779,"4,587","3,037",709,961,"2,211",1093,124,126,,
..25 to 29 years,"1,764",1,3,2,8,4,22,86,495,514,99,104,301,104,17,3,,
..30 to 34 years,"1,614",-,6,1,10,12,40,54,515,372,87,123,265,111,9,8,,
..35 to 39 years,"1,550",1,7,6,13,16,18,60,435,342,75,126,292,143,6,10,,
..40 to 44 years,"1,501",10,2,6,11,13,21,79,405,299,91,104,276,153,14,18,,
..45 to 49 years,"1,491",4,2,7,14,29,27,64,483,301,52,128,219,109,31,22,,
..50 to 54 years,"1,550",6,8,7,15,12,36,85,487,280,99,118,246,123,14,14,,
..55 to 59 years,"1,427",2,4,4,18,21,34,88,492,296,90,72,171,110,4,20,,
..60 to 64 years,"1,222",5,19,7,18,26,36,66,404,242,42,74,174,87,7,15,,
..65 to 69 years,909,8,11,29,16,21,29,54,271,180,34,62,119,63,5,8,,
..70 to 74 years,592,4,3,12,16,21,39,54,216,89,14,25,57,36,4,2,,
..75 years and over,"1,040",11,19,22,61,47,68,88,385,123,27,25,92,54,12,6,,
Footnotes:,,,,,,,,,,,,,,,,,,
A dash (-) represents zero or rounds to zero.,,,,,,,,,,,,,,,,,,
/1 Plus armed forces living off post or with their families on post.,,,,,,,,,,,,,,,,,,
/2 Respondents who have completed 12th grade but did not receive a diploma are included in this category.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Source:  U.S. Census Bureau, Current Population Survey, 2015 Annual Social and Economic Supplement",,,,,,,,,,,,,,,,,,
