Table with row headers in column A and column headers for both sexes in rows 5 through 6.,,,,,,,,,,,,
"Table 2.  Educational Attainment of the Population 25 Years and Over, by Selected Characteristics:  2015",,,,,,,,,,,,
(Numbers in thousands.  Civilian noninstitutionalized population /1.),,,,,,,,,,,,
(leading dot indicates sub-part),,,,,,,,,,,,
Both Sexes,Total,Educational Attainment,,,,,,,,,,
,,None - 8th grade,9th - 11th grade,High school graduate,"Some college, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional degree,Doctoral degree,,
Total,"212,132","9,896","14,686","62,575","35,164","20,867","43,500","18,471","3,365","3,609",,
,,,,,,,,,,,,
Marital Status,,,,,,,,,,,,
".Married, spouse sresent","122,216","5,067","6,800","34,020","18,785","12,274","27,675","12,621","2,346","2,628",,
".Married, spouse absent, not separated","3,379",346,356,"1,016",469,277,527,254,50,82,,
.Separated,"5,012",447,639,1653,940,448,614,207,24,39,,
.Widowed,"14,554",1462,1639,"5,495",2201,1068,1694,690,173,133,,
.Divorced,"25,591",860,"1,844","8,225","5,372","2,951","4,094",1678,251,316,,
.Never married,"41,381",1715,"3,408","12,167","7,397","3,848","8,896","3,020",520,411,,
,,,,,,,,,,,,
Household Relationship,,,,,,,,,,,,
.Family householder,,,,,,,,,,,,
"..Married, spouse present","59,044","2,178","3,078","15,219","9,806","5,982","13,776","6,412","1,224","1,367",,
..Other family householder,"19,340",1004,"1,994","6,048","4,061","2,316","2,625",1018,127,146,,
.Nonfamily householder,,,,,,,,,,,,
..Living alone,"33,468","1,562","2,539","9,947","6,109","3,048","6,469","2,717",520,558,,
..Living with nonrelatives,"6,409",214,420,"1,500","1,074",714,"1,695",584,109,100,,
.Relative of householder,,,,,,,,,,,,
..Spouse,"58,977","2,347","3,335","17,271","8,396","6,032","13,243","6,058","1,094","1,202",,
..Other,"22,984","1,982","2,310","8,625","3,758","1,791","3,460",811,129,118,,
.Nonrelative,"11,911",609,"1,010","3,965","1,959",984,"2,231",872,162,118,,
,,,,,,,,,,,,
"Citizenship, Nativity, and Year of Entry",,,,,,,,,,,,
.Total,,,,,,,,,,,,
..Native,"175,519","3,626","10,713","53,639","31,502","18,590","36,582","15,320","2,790","2,758",,
..Foreign born,"36,613","6,270","3,973","8,936","3,662","2,277","6,918","3,151",575,851,,
.Native,,,,,,,,,,,,
..Native parentage /2,"159,324","3,130","9,727","49,418","28,676","17,082","32,851","13,673","2,343","2,423",,
..Foreign or mixed parentage /3,"16,196",496,985,"4,221","2,825","1,508","3,731","1,648",447,334,,
.Foreign born,,,,,,,,,,,,
..Naturalized citizen,"18,254","1,927","1,282","4,461","2,199","1,473","4,264","1,798",382,467,,
..Not a citizen,"18,359","4,343","2,692","4,475","1,463",804,"2,653","1,352",193,384,,
..Year of entry,,,,,,,,,,,,
..2000 or later,"13,868","2,226","1,569","3,257","1,231",743,"2,878","1,446",195,323,,
..1990-1999,"9,613","1,753","1,178","2,387",926,617,"1,629",738,143,242,,
..1980-1989,"6,779","1,169",728,"1,722",727,447,"1,260",495,117,114,,
