Table with row headers in column A and column headers in rows 6 through 7,,,,,
"TABLE 2J. Median Monthly Income and Earnings, and Average Months Worked in Preceding Four Months by Education, 2009",,,,,
Population age 18 and over. Earnings apply to employed population only.,,,,,
"Numbers in thousands. Earnings, income in dollars. Months worked of last 4",,,,,
,,,,,
Highest level completed,Number of people,Total income,Earnings (FT),Earnings (All),Months worked
,,,,,
,,,,,
Elementary,"12,002",$914 ,"$1,732 ","$1,516 ",1.7
Some high school,"18,260",$880 ,"$2,000 ","$1,472 ",1.8
High school graduate,"57,880","$1,458 ","$2,550 ","$2,078 ",2.3
Some college,"35,337","$1,556 ","$2,917 ","$2,130 ",2.6
Vocational certificate*,"24,709","$1,898 ","$2,950 ","$2,400 ",2.6
Associate's degree,"18,429","$2,408 ","$3,456 ","$2,923 ",3
Bachelor's degree,"38,782","$3,188 ","$4,355 ","$3,874 ",3
Master's degree,"15,132","$4,508 ","$5,417 ","$5,000 ",3.1
Professional degree,"3,232","$6,125 ","$7,417 ","$7,128 ",3.3
Doctorate degree,"2,486","$5,756 ","$6,833 ","$6,260 ",3.2
Footnotes:,,,,,
"(FT) refers to full-time workers, (All) refers to all with earnings.",,,,,
* Changes were made in the way the data were collected for people who received vocational certificates in the 2004 panel.  Users will therefore see some differences in the estimates in this table compared to 2001 and previous panels.  ,,,,,
,,,,,
"Source: US Census Bureau, Survey of Income and Program Participation, 2008 Panel.  For more information on sampling and nonsampling error see http://www.sipp.census.gov/sipp/source.html",,,,,
