Age,Total,AverageEdu,AverageAge,EduFitiOrder1,EduFitiOrder2,EduFitiOrder3
18-24,30116.0,8.67681631027,21,9.62553348489,9.07820837831,9.00664770117
25-29,21867.0,9.77806740751,27,9.58706934819,9.37562115663,9.39288436364
30-34,21139.0,9.81555418894,32,9.55501590094,9.56238658543,9.61220470352
35-39,19916.0,9.70561357702,37,9.52296245369,9.69362605685,9.74739116229
40-44,20003.0,9.75198720192,42,9.49090900643,9.76933957087,9.80696329359
45-49,20563.0,9.66410543209,47,9.45885555918,9.7895271275,9.79944065109
50-54,22233.0,9.54099761616,52,9.42680211193,9.75418872675,9.73334278843
55-59,21419.0,9.5092674728,57,9.39474866468,9.6633243686,9.61718925926
60-64,18998.0,9.57685019476,62,9.36269521743,9.51693405307,9.45949961724
65-69,15728.0,9.49841047813,67,9.33064177017,9.31501778015,9.26879341603
70-74,11209.0,9.14336693728,72,9.29858832292,9.05757554983,9.05359020926
>=75,19056.0,8.65931989924,77,9.26653487567,8.74460736213,8.8224095506
