Table with row headers in column A and column headers in rows 5 through 6,,,,,,,,,,,,,,,,,,
"Table 1.  Educational Attainment of the Population 18 Years and Over, by Age, Sex, Race, and Hispanic Origin:  2015",,,,,,,,,,,,,,,,,,
(Numbers in thousands.  Civilian noninstitutionalized population /1.),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Asian alone or in combination,Educational Attainment,,,,,,,,,,,,,,,,,
,Total,None,1st - 4th grade,5th - 6th grade,7th - 8th grade,9th grade,10th grade,11th grade /2,High school graduate,"Some college, no degree","Associate's degree, occupational","Associate's degree, academic",Bachelor's degree,Master's degree,Professional degree,Doctoral degree,,
Both Sexes,,,,,,,,,,,,,,,,,,
.18 years and over,"14,893",141,177,237,243,149,191,455,"2,809","2,242",357,583,"4,520","1,892",342,557,,
..18 to 24 years,"1,982",3,3,3,11,13,20,159,319,964,38,67,328,52,-,2,,
.25 years and over,"12,911",138,174,233,232,136,171,296,"2,490","1,278",319,515,"4,192","1,841",342,555,,
..25 to 29 years,"1,618",4,9,7,13,4,17,19,247,174,31,65,675,271,43,39,,
..30 to 34 years,"1,646",2,3,5,9,17,12,24,219,192,37,63,595,330,74,63,,
..35 to 39 years,"1,515",14,2,11,4,7,12,24,217,149,42,63,517,280,56,118,,
..40 to 44 years,"1,461",6,6,14,11,15,6,31,244,115,41,77,505,257,43,91,,
..45 to 49 years,"1,312",8,7,16,22,15,12,29,272,83,38,72,447,202,24,66,,
..50 to 54 years,"1,237",11,19,14,21,10,20,25,255,138,25,53,392,180,17,57,,
..55 to 59 years,"1,092",12,21,23,33,8,23,49,250,115,34,40,299,131,19,36,,
..60 to 64 years,970,12,20,33,26,14,24,24,248,111,27,39,275,72,22,22,,
..65 to 69 years,743,17,23,23,34,7,16,20,190,77,19,18,207,43,21,29,,
..70 to 74 years,508,7,19,25,20,15,13,22,111,64,11,16,128,32,8,18,,
..75 years and over,809,45,46,62,39,23,16,28,238,60,15,10,152,43,16,16,,
Male,,,,,,,,,,,,,,,,,,
.18 years and over,"7,052",43,57,82,91,58,80,235,"1,305","1,107",157,256,"2,116",968,163,334,,
..18 to 24 years,1003,1,-,-,7,2,10,89,177,480,18,36,165,17,-,2,,
.25 years and over,"6,049",43,57,81,84,57,70,146,"1,128",627,139,220,"1,951",952,163,332,,
..25 to 29 years,792,1,5,-,12,1,8,6,133,100,11,35,316,127,17,20,,
..30 to 34 years,783,1,-,3,6,6,10,18,122,79,19,25,274,162,27,31,,
..35 to 39 years,700,5,1,5,4,3,5,4,90,64,23,22,244,137,33,59,,
..40 to 44 years,667,2,2,6,-,6,2,15,114,47,17,26,227,127,21,56,,
..45 to 49 years,627,2,5,8,9,8,5,17,122,36,18,28,203,119,6,40,,
..50 to 54 years,585,4,15,4,9,3,9,14,101,80,10,21,166,104,8,35,,
..55 to 59 years,508,3,5,6,2,4,9,35,101,56,15,23,140,68,13,27,,
..60 to 64 years,453,5,6,15,8,4,6,8,112,54,8,19,140,44,12,11,,
..65 to 69 years,344,-,1,11,10,5,4,8,87,42,8,12,96,21,14,25,,
..70 to 74 years,227,1,9,6,5,6,3,10,37,43,2,4,68,12,5,16,,
..75 years and over,364,17,8,18,19,11,7,11,108,26,7,5,77,29,7,12,,
Female,,,,,,,,,,,,,,,,,,
.18 years and over,"7,841",97,120,155,152,90,111,220,"1,504","1,135",200,327,"2,404",924,179,222,,
..18 to 24 years,979,2,3,3,4,11,10,70,143,484,19,32,163,35,-,-,,
.25 years and over,"6,862",95,117,152,148,79,101,150,"1,362",651,181,295,"2,241",889,179,222,,
..25 to 29 years,826,3,3,7,2,3,9,13,115,74,19,30,358,144,26,19,,
..30 to 34 years,863,1,3,2,3,11,1,6,98,113,18,38,321,168,47,33,,
..35 to 39 years,815,8,1,6,-,4,7,20,127,85,19,41,273,143,23,59,,
..40 to 44 years,794,4,4,8,11,10,4,17,129,68,24,51,278,130,21,35,,
..45 to 49 years,685,6,2,8,12,7,7,13,149,47,20,44,244,82,18,26,,
..50 to 54 years,652,7,4,9,12,7,11,11,153,58,14,31,226,77,10,22,,
..55 to 59 years,584,9,16,17,31,4,13,14,149,59,19,17,159,63,6,8,,
..60 to 64 years,518,7,15,17,18,10,18,16,135,57,19,20,136,29,10,11,,
..65 to 69 years,399,17,22,12,24,2,12,12,103,35,11,7,112,21,6,4,,
..70 to 74 years,280,6,10,20,15,10,10,12,74,21,9,11,59,19,3,2,,
..75 years and over,445,27,38,44,21,12,9,17,130,34,8,5,75,13,9,4,,
Footnotes:,,,,,,,,,,,,,,,,,,
A dash (-) represents zero or rounds to zero.,,,,,,,,,,,,,,,,,,
/1 Plus armed forces living off post or with their families on post.,,,,,,,,,,,,,,,,,,
/2 Respondents who have completed 12th grade but did not receive a diploma are included in this category.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Source:  U.S. Census Bureau, Current Population Survey, 2015 Annual Social and Economic Supplement",,,,,,,,,,,,,,,,,,
